candidate,fold,train_n,train_wr,train_pf,train_sum_r,test_n,test_wr,test_pf,test_sum_r,params
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,5,28,0.75,1.5999877406535257,4.698360000000001,16,0.4375,0.4373498320679751,-5.273630000000001,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,6,35,0.6,0.830957631770092,-2.5716500000000004,5,0.8,2.5731537135508344,1.7247899999999998,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,7,26,0.5,0.5845271222215335,-5.56469,11,0.7272727272727273,1.7973749257987819,2.53877,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.4,8,21,0.6666666666666666,1.2502247664441812,1.86472,11,0.36363636363636365,0.25842010598783005,-5.38057,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,0,17,0.7058823529411765,1.8532431599342414,4.650379999999999,9,0.5555555555555556,0.9265656025206586,-0.3088100000000002,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,1,18,0.6666666666666666,1.5368142712357786,3.52228,3,0.3333333333333333,0.2890008774522914,-1.5152600000000003,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,2,14,0.5,0.693036794802441,-2.26409,6,0.6666666666666666,1.262260739274599,0.5671100000000001,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,3,10,0.6,1.0735818889609785,0.3175499999999997,7,0.8571428571428571,3.455846091564846,2.66921,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,4,14,0.7142857142857143,1.5024178152845131,2.15279,8,0.75,2.061912564784726,2.30709,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,5,16,0.75,1.9005111014546732,3.9167099999999997,12,0.25,0.24707803165635886,-7.00493,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,6,22,0.5,0.6854103060855335,-3.7218099999999996,3,1.0,inf,2.4714,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,7,18,0.4444444444444444,0.5681254716482335,-4.4925099999999984,9,0.6666666666666666,1.5219800470629743,1.6570100000000003,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.4_stop_atr_mult=1.75_min_rr=0.6,8,15,0.6,1.1334192477806309,0.84583,6,0.5,0.5952849780299098,-1.2784299999999997,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.75, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,0,36,0.7222222222222222,1.9023319956613225,10.390380000000002,16,0.75,1.9601367707715458,4.1923699999999995,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,1,34,0.7352941176470589,1.955090890971868,9.775679999999998,12,0.5,0.8064138459172783,-1.2715299999999998,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,2,30,0.6666666666666666,1.3945830372294004,4.480809999999999,14,0.5714285714285714,0.8816818098853199,-0.7649199999999999,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,3,28,0.5714285714285714,1.031542953742124,0.4187099999999996,12,0.6666666666666666,1.5608388276206488,2.4481399999999995,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,4,30,0.6,1.0820979070790158,1.0603699999999994,16,0.6875,1.6126485158379351,3.53576,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,5,32,0.65625,1.4187038312446965,5.185760000000001,18,0.3333333333333333,0.34548947111127887,-8.153649999999999,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,6,38,0.5526315789473685,0.9251686581412017,-1.447860000000001,11,0.9090909090909091,6.481963739512311,6.4162,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,7,34,0.5294117647058824,0.7683939031344866,-3.8460300000000007,12,0.6666666666666666,1.7341512215669754,3.2068900000000005,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.4,8,28,0.75,2.2200701803096012,9.84327,13,0.5384615384615384,0.8192404608726879,-1.1879299999999997,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,0,28,0.6785714285714286,1.8290556430140128,8.53148,10,0.6,1.4436614672771269,1.91963,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,1,26,0.6538461538461539,1.6403761748055323,6.48386,11,0.5454545454545454,0.9681126259718872,-0.17503999999999997,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,2,23,0.6086956521739131,1.3321147614080628,3.336850000000001,11,0.5454545454545454,0.9174125117704401,-0.44817999999999913,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,3,24,0.5833333333333334,1.1662134261760695,1.8580599999999998,10,0.8,3.108753065459347,4.6949700000000005,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,4,24,0.6666666666666666,1.5418633922418459,4.7571,15,0.7333333333333333,2.116400927069648,5.115550000000002,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,5,29,0.7241379310344828,1.9972003965740888,9.132800000000001,16,0.375,0.49232363334105067,-5.35032,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
grid_bb_std=1.5_stop_atr_mult=1.25_min_rr=0.6,6,35,0.6,1.191612881362198,3.10981,7,0.8571428571428571,5.0421162758525275,4.674949999999999,"{""bb_std"": 1.5, ""stop_atr_mult"": 1.25, ""min_rr"": 0.6}"
